
02001,0915202000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02002,0915202030,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,65535.00,0.00,262.14,0.00 0 0 0 0 0 

02003,0915202100,1.00,0.01,0.01,1.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00 0 0 0 0 0 

02004,0915202130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02005,0915202200,65535.00,0.03,2162.66,65535.00,0.03,0.00,1.00,0.03,0.03,1.00,0.03,0.03,0.00 0 0 0 0 0 

02006,0915202230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02007,0915202300,1.00,0.03,0.03,1.00,0.03,0.00,1.00,0.02,0.02,1.00,0.03,0.03,0.00 0 0 0 0 0 

02008,0915202330,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02009,0915202400,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02010,0915202430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02011,0915202500,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.00 0 0 0 0 0 

02012,0915202530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02013,0915202600,0.00,0.03,0.00,0.00,0.03,0.00,1.00,0.03,0.03,0.00,0.03,0.00,0.00 0 0 0 0 0 

02014,0915202630,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02015,0915202700,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,65535.00,0.03,1966.05,0.00 0 0 0 0 0 

02016,0915202730,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02017,0915202800,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00 0 0 0 0 0 

02018,0915202830,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02019,0915202900,65535.00,0.03,2162.66,65535.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02020,0915202930,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02021,0915203000,0.00,0.03,0.00,0.00,0.03,1966.05,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02022,0915203030,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02023,0915203100,1.00,0.03,0.03,1.00,0.03,0.03,0.00,0.03,0.00,1.00,0.03,0.03,0.00 0 0 0 0 0 

02024,0915203130,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02025,0915203200,65535.00,0.04,2424.79,65535.00,0.04,0.00,65535.00,0.03,1900.52,65535.00,0.03,2031.58,0.00 0 0 0 0 0 

02026,0915203230,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02027,0915203300,1.00,0.04,0.04,1.00,0.04,0.03,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02028,0915203330,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02029,0915203400,0.00,0.04,0.00,0.00,0.04,1834.98,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02030,0915203430,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02031,0915203500,1.00,0.04,0.04,1.00,0.04,0.03,1.00,0.03,0.03,0.00,0.03,0.00,0.00 0 0 0 0 0 

02032,0915203530,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02033,0915203600,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02034,0915203630,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02035,0915203700,0.00,0.04,0.00,0.00,0.04,0.00,0.00,0.03,0.00,65535.00,0.03,1769.44,0.00 0 0 0 0 0 

02036,0915203730,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02037,0915203800,0.00,0.03,0.00,0.00,0.03,0.00,65535.00,0.03,1769.44,0.00,0.02,0.00,0.00 0 0 0 0 0 

02038,0915203830,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02039,0915203900,65535.00,0.03,1900.52,65535.00,0.03,2031.58,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02040,0915203930,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02041,0915204000,0.00,0.03,0.00,0.00,0.03,0.02,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02042,0915204030,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02043,0915204100,0.00,0.04,0.00,0.00,0.04,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02044,0915204130,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02045,0915204200,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00 0 0 0 0 0 

02046,0915204230,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02047,0915204300,1.00,0.03,0.03,1.00,0.03,0.00,0.00,0.03,0.00,1.00,0.03,0.03,0.00 0 0 0 0 0 

02048,0915204330,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02049,0915204400,65535.00,0.03,1966.05,65535.00,0.03,0.00,65535.00,0.03,1834.98,65535.00,0.03,1703.91,0.00 0 0 0 0 0 

02050,0915204430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02051,0915204500,65535.00,0.03,1703.91,65535.00,0.03,1376.23,0.00,0.02,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02052,0915204530,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02053,0915204600,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00 0 0 0 0 0 

02054,0915204630,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02055,0915204700,65535.00,0.03,1900.52,65535.00,0.03,0.03,0.00,0.03,0.00,1.00,0.03,0.03,0.00 0 0 0 0 0 

02056,0915204730,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00 0 0 0 0 0 

02057,0915204800,0.00,0.03,0.00,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.03,0.00,0.00 0 0 0 0 0 

02058,0915204830,0.00,0.00,0.00,0.00,0.00,0.00,65535.00,0.00,262.14,0.00,0.00,0.00,0.00 0 0 0 0 0 

02059,0915204900,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00 0 0 0 0 0 

